original_image_id,file_name,height,width,timestamp,viewpoint,original_whale_id,original_encounter_id,image_id,date,whale_id,encounter_id,path,local_raw_path,local_final_path
7419,c38e634e.jpg,463,150,2017-08-07 20:38:36,top,635,652,train0000,2017-08-07,whale000,whale000-000,images/train0000.jpg,data/raw/dataset_v2/images/c38e634e.jpg,data/final/public/images/train0000.jpg
2946,4d842e49.jpg,192,81,2019-08-05 16:49:13,top,1043,1519,train0001,2019-08-05,whale001,whale001-000,images/train0001.jpg,data/raw/dataset_v2/images/4d842e49.jpg,data/final/public/images/train0001.jpg
1271,21b85950.jpg,625,183,2017-08-07 22:12:19,top,264,685,train0002,2017-08-07,whale002,whale002-000,images/train0002.jpg,data/raw/dataset_v2/images/21b85950.jpg,data/final/public/images/train0002.jpg
5758,97dc0c0e.jpg,673,237,2017-08-07 20:40:59,top,383,650,train0003,2017-08-07,whale003,whale003-000,images/train0003.jpg,data/raw/dataset_v2/images/97dc0c0e.jpg,data/final/public/images/train0003.jpg
1648,2b2c76b0.jpg,461,166,2018-08-10 21:45:30,top,766,1209,train0004,2018-08-10,whale004,whale004-000,images/train0004.jpg,data/raw/dataset_v2/images/2b2c76b0.jpg,data/final/public/images/train0004.jpg
9384,f82cc595.jpg,365,137,2018-08-30 00:15:02,top,871,1476,train0005,2018-08-30,whale005,whale005-000,images/train0005.jpg,data/raw/dataset_v2/images/f82cc595.jpg,data/final/public/images/train0005.jpg
3967,691e7946.jpg,341,1212,2017-08-03 18:03:18,right,466,13,train0006,2017-08-03,whale006,whale006-000,images/train0006.jpg,data/raw/dataset_v2/images/691e7946.jpg,data/final/public/images/train0006.jpg
4563,78e75472.jpg,499,151,2018-08-10 22:27:11,top,765,1208,train0007,2018-08-10,whale007,whale007-000,images/train0007.jpg,data/raw/dataset_v2/images/78e75472.jpg,data/final/public/images/train0007.jpg
7769,cca6d462.jpg,165,73,2019-08-26 11:48:32,top,40,1682,train0008,2019-08-26,whale008,whale008-000,images/train0008.jpg,data/raw/dataset_v2/images/cca6d462.jpg,data/final/public/images/train0008.jpg
9280,f55e628b.jpg,455,163,2019-08-29 13:50:31,top,508,1773,train0009,2019-08-29,whale009,whale009-000,images/train0009.jpg,data/raw/dataset_v2/images/f55e628b.jpg,data/final/public/images/train0009.jpg
7750,cc529d0d.jpg,589,189,2018-08-30 00:24:41,top,153,1465,train0010,2018-08-30,whale010,whale010-000,images/train0010.jpg,data/raw/dataset_v2/images/cc529d0d.jpg,data/final/public/images/train0010.jpg
5500,911481d0.jpg,443,157,2019-08-26 10:41:47,top,126,1638,train0011,2019-08-26,whale011,whale011-000,images/train0011.jpg,data/raw/dataset_v2/images/911481d0.jpg,data/final/public/images/train0011.jpg
8516,dfd63d60.jpg,482,172,2018-08-10 21:16:53,top,492,1204,train0012,2018-08-10,whale012,whale012-000,images/train0012.jpg,data/raw/dataset_v2/images/dfd63d60.jpg,data/final/public/images/train0012.jpg
